Age;Condition;Start_Dimension;Age_months;Gender;Subject_ID;Material_Set;Sheet;Relevant_dimension;Baited;Pre_or_postswitch ;Trialnr;Success; Learning_Criterion_met?;LearningCriterionMet_SoftCriterion;Number_administrated_trials ;Number_errors;Number_trials_afterwhich_criterionreached;Number_trials_afterwhich_criterionreached_softcriterion;Number_correcttrials;Proportion_correct
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;1;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;2;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;3;0;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;4;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;5;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;6;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;7;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;8;0;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;9;0;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;10;0;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;11;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;12;0;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;13;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;14;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;15;0;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;16;0;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;17;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;18;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;19;0;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;20;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;21;0;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;22;1;N;N;36;14;;;22;0.611111111
3;ID;Cup;47;Male;A3_1_ConditionID_StartD_Cup_MaterialA;A;1A;Cup;Purple Cup;pre;23;0;N;N;36;14;;;22;0.611111111
